tenis jjoo;podoroska vs badosa;1;26/07/2021;23:00:00
tenis jjoo;schwartzman vs machac;1;26/07/2021;23:15:00
handball jjoo;argentina vs noruega;1;27/07/2021;04:30:00
futbol jjoo;argentina vs espania;1;27/07/2021;08:00:00
